,address,end_time,forestry,municipality,start_time,area,longitude,latitude,temp,RH,wind,rain,conditions,description
0,ΜΕΣΟΥΝΗ,2018-11-08 14:12:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-08 13:43:00,1.0,26.4023,39.0152,18.2,76.6,8.6,0.0,Partially cloudy,Partly cloudy throughout the day.
1,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΑΣΜΑΤΟΣ,2018-11-08 17:46:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-08 17:00:00,15.0,24.6067,40.8915,19.0,75.3,19.1,0.0,Partially cloudy,Partly cloudy throughout the day.
2,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΣΜΙΟΥ,2018-11-08 18:18:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΚΟΜΟΤΗΝΗΣ,2018-11-08 17:35:00,0.1,,,,,,,,
3,Δ.Δ. ΛΥΔΙΑΣ ΚΑΒΑΛΑΣ,2018-11-08 18:10:00,ΚΑΒΑΛΑΣ,Δ. ΚΑΒΑΛΑΣ,2018-11-08 17:25:00,0.1,24.3811,40.921,19.0,75.2,19.1,0.0,Partially cloudy,Partly cloudy throughout the day.
4,ΦΤΕΛΙΑ,2018-11-08 14:40:00,ΔΡΑΜΑΣ,Δ. ΔΟΞΑΤΟΥ,2018-11-08 13:44:00,4.0,24.1959,41.0845,19.0,74.8,19.1,0.0,Partially cloudy,Partly cloudy throughout the day.
5,ΑΓΡΟΤΟΔΑΣΙΚΗ ΠΕΡΙΟΧΗ ΚΟΚΚΑΛΟΥΣ,2018-11-08 19:30:00,ΣΤΑΥΡΟΥ,Δ. ΒΟΛΒΗΣ,2018-11-08 17:45:00,1.5,,,,,,,,
6,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΕΡΙΣΤΕΡΑΣ,2018-11-08 06:45:00,ΘΕΣΣΑΛΟΝΙΚΗΣ,Δ. ΘΕΡΜΗΣ,2018-11-08 04:45:00,1.0,,,,,,,,
7,ΑΓΡ.ΠΕΡ. ΑΜΜΟΥΔΙΑΣ,2018-11-08 00:48:00,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,Δ. ΗΡΑΚΛΕΙΑΣ,2018-11-08 23:05:00,2.0,,,,,,,,
8,ΑΓΡ. ΠΕΡ. ΚΟΥΛΙΝΑΙΙΚΑ,2018-11-08 16:14:00,ΚΙΛΚΙΣ,Δ. ΠΑΙΟΝΙΑΣ,2018-11-08 15:13:00,1.0,22.5935,41.0148,18.5,75.1,13.0,0.035,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
9,ΑΓΡ. ΠΕΡ. ΠΙΚΡΟΛΙΜΝΗΣ,2018-11-08 17:26:00,ΚΙΛΚΙΣ,Δ. ΚΙΛΚΙΣ,2018-11-08 15:43:00,15.0,,,,,,,,
