address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,firefighters,fire_station,fire_trucks,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
ΜΕΣΟΥΝΗ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 14:12:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,1.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-08 13:43:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΑΣΜΑΤΟΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 17:46:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,15.0,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-08 17:00:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΣΜΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 18:18:00,2,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,0.1,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2018-11-08 17:35:00,0.0,0,0,0,0.0
Δ.Δ. ΛΥΔΙΑΣ ΚΑΒΑΛΑΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 18:10:00,2,Π.Υ. ΚΑΒΑΛΑΣ,1,0.0,ΚΑΒΑΛΑΣ,0.0,0,0,,0.1,0,Δ. ΚΑΒΑΛΑΣ,0,ΚΑΒΑΛΑΣ,2018-11-08 17:25:00,0.0,0,0,0,0.0
ΦΤΕΛΙΑ,4.0,0,0,0,0,0,0.0,0.0,2018-11-08 14:40:00,3,Π.Υ. ΔΡΑΜΑΣ,1,0.0,ΔΡΑΜΑΣ,0.0,0,0,,0.0,0,Δ. ΔΟΞΑΤΟΥ,0,ΔΡΑΜΑΣ,2018-11-08 13:44:00,0.0,0,0,0,0.0
ΑΓΡΟΤΟΔΑΣΙΚΗ ΠΕΡΙΟΧΗ ΚΟΚΚΑΛΟΥΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 19:30:00,6,Π.Κ. ΣΤΑΥΡΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ,3,0.0,ΣΤΑΥΡΟΥ,0.0,0,0,,0.0,0,Δ. ΒΟΛΒΗΣ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-11-08 17:45:00,0.0,0,0,0,1.5
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΕΡΙΣΤΕΡΑΣ,0.5,0,0,0,0,0,0.0,0.0,2018-11-08 06:45:00,10,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,3,0.0,ΘΕΣΣΑΛΟΝΙΚΗΣ,0.0,0,0,,0.0,0,Δ. ΘΕΡΜΗΣ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-11-08 04:45:00,0.5,0,0,0,0.0
ΑΓΡ.ΠΕΡ. ΑΜΜΟΥΔΙΑΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 00:48:00,2,Π.Κ. ΣΙΔΗΡΟΚΑΣΤΡΟΥ,1,0.0,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,0.0,0,0,ΗΡΑΚΛΕΙΑ,0.0,0,Δ. ΗΡΑΚΛΕΙΑΣ,0,ΣΕΡΡΩΝ,2018-11-08 23:05:00,2.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΚΟΥΛΙΝΑΙΙΚΑ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 16:14:00,2,Π.Υ. ΚΙΛΚΙΣ,1,0.0,ΚΙΛΚΙΣ,0.0,0,0,,1.0,0,Δ. ΠΑΙΟΝΙΑΣ,0,ΚΙΛΚΙΣ,2018-11-08 15:13:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΠΙΚΡΟΛΙΜΝΗΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 17:26:00,2,Π.Υ. ΚΙΛΚΙΣ,1,0.0,ΚΙΛΚΙΣ,0.0,0,0,,5.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-08 15:43:00,10.0,0,0,0,0.0
